Geographic area,Indicator,Sex,2020,2019,2018,2015
Afghanistan,Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis),Total,87,-,-,-
Afghanistan,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,78,-,-,-
Afghanistan,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,70,-,-,-
Afghanistan,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,70,-,-,-
Afghanistan,Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth,Total,38,-,-,-
Afghanistan,Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,70,-,-,-
Afghanistan,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,Total,65,-,-,-
Afghanistan,Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,66,-,-,-
Afghanistan,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,43,-,-,-
Afghanistan,Percentage of newborns protected at birth against tetanus with tetanus toxoid,Total,63,-,-,-
Afghanistan,Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV),Total,68,-,-,-
Afghanistan,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,75,-,-,-
Afghanistan,Percentage of surviving infants who received the last dose of rotavirus-containing vaccine (2nd or 3rd dose depending on vaccine used),Total,62,-,-,-
Armenia,Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis),Total,99,-,-,-
Armenia,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,96,-,-,-
Armenia,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,91,-,-,-
Armenia,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,92,-,-,-
Armenia,Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth,Total,97,-,-,-
Armenia,Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,92,-,-,-
Armenia,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,Total,79,-,-,-
Armenia,Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,94,-,-,-
Armenia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,94,-,-,-
Armenia,Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV),Total,92,-,-,-
Armenia,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,86,-,-,-
Armenia,Percentage of surviving infants who received the last dose of rotavirus-containing vaccine (2nd or 3rd dose depending on vaccine used),Total,92,-,-,-
Armenia,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,Total,8,-,-,-
Armenia,Percentage of surviving infants who received the first dose of rubella-containing vaccine,Total,94,-,-,-
Azerbaijan,Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis),Total,94,-,-,-
Azerbaijan,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,85,-,-,-
Azerbaijan,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,79,-,-,-
Azerbaijan,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,79,-,-,-
Azerbaijan,Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth,Total,98,-,-,-
Azerbaijan,Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,79,-,-,-
Azerbaijan,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,Total,80,-,-,-
Azerbaijan,Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,82,-,-,-
Azerbaijan,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,79,-,-,-
Azerbaijan,Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV),Total,79,-,-,-
Azerbaijan,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,85,-,-,-
Azerbaijan,Percentage of surviving infants who received the first dose of rubella-containing vaccine,Total,82,-,-,-
Bahrain,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,99,-,-,-
Bahrain,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,98,-,-,-
Bahrain,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,98,-,-,-
Bahrain,Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth,Total,99,-,-,-
Bahrain,Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,98,-,-,-
Bahrain,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,Total,99,-,-,-
Bahrain,Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,99,-,-,-
Bahrain,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,99,-,-,-
Bahrain,Percentage of newborns protected at birth against tetanus with tetanus toxoid,Total,99,-,-,-
Bahrain,Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV),Total,99,-,-,-
Bahrain,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,98,-,-,-
Bahrain,Percentage of surviving infants who received the last dose of rotavirus-containing vaccine (2nd or 3rd dose depending on vaccine used),Total,98,-,-,-
Bahrain,Percentage of surviving infants who received the first dose of rubella-containing vaccine,Total,99,-,-,-
Bangladesh,Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis),Total,99,-,-,-
Bangladesh,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,99,-,-,-
Bangladesh,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,98,-,-,-
Bangladesh,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,98,-,-,-
Bangladesh,Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,98,-,-,-
Bangladesh,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,Total,96,-,-,-
Bangladesh,Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,97,-,-,-
Bangladesh,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,93,-,-,-
Bangladesh,Percentage of newborns protected at birth against tetanus with tetanus toxoid,Total,98,-,-,-
Bangladesh,Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV),Total,99,-,-,-
Bangladesh,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,98,-,-,-
Bangladesh,Percentage of surviving infants who received the first dose of rubella-containing vaccine,Total,97,-,-,-
Bhutan,Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis),Total,98,-,-,-
Bhutan,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,96,-,-,-
